Organisations,telephone,addresse,Email,nom
JARDIN D'ENFANTS DAR AL QURAN AL KARIM SULTAN BEN,338272766,", Square Hlm Patte D'Oie, PATTE D?OIE, Dakar",,irene
JARDIN D''ENFANTS ISLAHA NAFIYATOU,338240308,"1112, Square Liberté 1, SICAP LIBERTÉ, Dakar",,irene
JARDIN D''ENFANTS KER ARAME,338254703,"517, Avenue Bourguiba, SICAP-LIBERTE, DAKAR",,irene
JARDIN D''ENFANTS KEUR FARY,338357808,"630, Square Grand Médine, PATTE D'OIE, Dakar",,irene
JARDIN D''ENFANTS KEUR ROKHAYA,338322293,"49, Square Cité Hacienda, Hann, HANN-BEL AIR, Dakar",,irene
JARDIN D''ENFANTS KEUR YAMA,338247076,"339, Square Ouagou Niayes 2, GRAND-DAKAR, Dakar",,irene
JARDIN D''ENFANTS LA PYRAMIDE,338250605,", Square Liberté 5, SICAP LIBERTÉ, Dakar",,irene
JARDIN D''ENFANTS LE NDER,338242601,", Square Castors, DIEUPPEUL-DERKLÉ, Dakar",,irene
INSTITUT PRESCOLAIRE PIE XII,339413686,", Square Bongré Kaolack, KAOLACK, Kaolack",,irene
INSTITUTION PRESCOLAIRE LE PELICAN,338275086,"6856, face grande porte Camp S, Square Liberté 6, SICAP LIBERTÉ, DAKAR",,irene
INSTITUT UNIVERSITAIRE DE L'ENTREPRISE ET DU DEVE,338242968,"Mermoz pyrotechnique, villa Num 14, Cité Keur Gorgui", secretariat@iuedsenegal.org,irene
GARDERIE D'ENFANTS LA MAISON DES ANGES,338257226,"4143, Square Sicap Amitié 2, FANN-POINT E-AMITIÉ, Dakar",,irene
GROUPE SCOLAIRE THIERNO SOULEYMAANE BAAL,338370656,SAM NOTAIRE,,irene
GROUPE SCOLAIRE L'AVENIR, 766970725 / 775764040,WAKHINANE NIMZATT,,irene
GROUPE SCOLAIRE LE FIRMAMENT,338777336,SAM NOTAIRE,,irene
GROUPE SCOLAIRE ZENITH ALPHA, 338778888 / 775363695,NDIAREME LIMAMOULAYE,,irene
GROUPE SCOLAIRE NDATTE YALLAH, 338532317 / 772465912,PIKINE,,irene
GROUPE SCOLAIRE HASSAN II,338778784,NDIAREME LIMAMOULAYE,,irene
GROUPE SCOLAIRE GASTON BERGER, 338776888 / 766871102,SAM NOTAIRE,,irene
GROUPE SCOLAIRE DABAKH MALICK,338776901,WAKHINANE NIMZATT,,irene
GROUPE SCOLAIRE THIERNO SOULEYMAANE BAAL,338370656,SAM NOTAIRE,,irene
GROUPE SCOLAIRE L'AVENIR, 766970725 / 775764040,WAKHINANE NIMZATT,,irene
GROUPE SCOLAIRE LE FIRMAMENT,338777336,SAM NOTAIRE,,irene
GROUPE SCOLAIRE NDATTE YALLAH, 338532317 / 772465912,PIKINE,,irene
GROUPE SCOLAIRE KEUR MAME DABA,338241568,zone de captage n°366, groupescolairekmd@gmail.com,irene
GROUPE SCOLAIRE KEUR MAME DABA,338241568,zone de captage nÂ° 366, groupescolairekmd@gmail.com,irene
GROUPE SCOLAIRE KEUR MAME DABA,338241568,zone de captage nÂ° 366, groupescolairekmd@gmail.com,irene
DIALYSS COIFFURE,338258719,"6A, Rue 2 X B, FANN - POINT E - AMITIE, Dakar",,irene
ECOLE PRESIDENT KEBA MBAYE,775052243,WAKHINANE NIMZATT,,irene
ECOLE MARIE THERESE NOLIN,773596428,WAKHINANE NIMZATT,,irene
ECOLE PRIVEE CHEZ ASSANE, 338771086 / 776331091,GOLF SUD, azouesca@hotmail.com,irene
ECOLE PRIVEE ADJA MAÏMOUNA NDIATH,338370537,WAKHINANE NIMZATT,,irene
ECOLE PRIVEE LES PRATICIENS,338348272,", Rue PO 63, PIKINE OUEST, DAKAR", les praticiens@sentoo.sn,irene
ECOLE DE FORMATION EN COIFFURE CHEZ L'AVENIR, 775479310 / 776092300,PIKINE,,irene
ECOLE SUPÉRIEURE POLYTECHNIQUE (EX ENSUT),338692400,", Square Cité Claudel Corniche Ouest, FANN-POINT E-AMITIÉ, Dakar",,irene
COURS PRIVES CHARLES BAUDELAIRE,338215410,MEDINA,,irene
COMPLEXE SCOLAIRE ISLAMIQUE GARDERIE FA SEYDAT KH,338251947,"4017, Square Sicap Amitié 2, FANN-POINT E-AMITIÉ, Dakar",,irene
COMPLEXE SCOLAIRE OMEGA,338559432,,,irene
COMPLEXE SCOLAIRE OMEGA,338559432,,,irene
COURS PRIVES YA SALAMOULAYE,338370493,,,irene
COURS PRIVEE KEUR BOUBOULA,775058895,,,irene
COURS PRIVES FADILOU DIOP,775322009,,,irene
COMPLEXE SCOLAIRE CHEIKH ABDOUL AZIZ SY,338771710,", Rue SN 206, SAM NOTAIRE, GUEDIAWAYE",,irene
DAARADJI, 338422407 / 775416282,,,irene
COMPLEXE AISSATOU COIFFURE,338559115,Email: cacoiffure@hotmail.com,,irene
COLLÈGE NOTRE DAME,338221871,"21, Avenue Carde, DAKAR PLATEAU, Dakar",,irene
COLLÈGE NOTRE DAME,338221871,"21, Avenue Carde, DAKAR PLATEAU, Dakar",,irene
COLLEGE DE LA CATHEDRALE,338218816,"30, Rue Kléber, DAKAR PLATEAU, DAKAR",,irene
ECOLE DES HAUTES ETUDES DE GESTION,338225118,rue 20 x 41 medina, sarrheg@yahoo.fr,irene
CEMIS,338605554,"2, Avenue Birago Diop, FANN - POINT E - AMITIE, Dakar", cemis@orange.sn,irene
ALOYS KOBES,338228462,"5, Rue Mousse Diop, DAKAR PLATEAU, Dakar",,irene
ECOLE SUPERIEUR DE TECHNOLOGIE ET DE MANAGEMENT,338272889,Lot 40 Avenue Bourguiba x Front de Terre Grand Yoff Dakar, estm@estm.sn,irene
Groupe Scolaire Yavuz Selim (Ecole élémentaire, 33 867 76 67,Sud Foire derrière Le SAMU municipal, cascades@gsyavuzselim.edu.sn,irene
Groupe scolaire Yavuz Selim Ziguinchor, 33 990 14 14,Ziguinchor, info.zig@gsyavuzselim.edu.sn,irene
PRÉSENTATION DE MARIE (Ecole élementaire),338202113,"Route de l'Aéroport Léopold Sédar Senghor, en face de la cité ASECNA", elementairepmyof@yahoo.fr,irene
Groupe scolaire Yavuz Selim, 33 860 02 03,Mermoz derrière station Elton, info@gsyavuzselim.edu.sn,irene
CHEZ DONALD, 33 821 55 63,"19, Avenue Nelson Mandela Dakar", adjindo umde@yahoo.fr,irene
JARDIN D'ENFANTS DE LA CROIX ROUGE SENEGALAISE, 33 823 57 86,Bd Franklin Roosevelt,,irene
LES ATELIERS DE NICOLE,338213673,Av. Franklin Roosevelt Dakar, nicolessaid@hotmail.com,irene
MISSION LIBANAISE, 33 822 10 14,Av. de la République DAKAR,,irene
PRÉSENTATION DE MARIE (Ecole prescolaire), 33 820 79 06,"Route de l'Aéroport Léopold Sédar Senghor, en face de la cité ASECNA", prescolairepmyoff@yahoo.fr,irene
LA SOURIS VERTE,338256909,Rue C X 6 ?point E DAKAR,,irene
KITA MISCHMASCH ,771376155,"96 Mermoz Sotrac, Dakar", info@kita-mischmasch.com,irene
GRAINE D'EVEIL, 338647473 / 770115959,Rue Saint John Perse x Rue D Fann Résidence, grainedveil@yahoo.fr,irene
LYCEE JEAN MERMOZ,338604533,Route de Ouakam, secretariatgeneral@lyceemermozdakar.org / communication@lyceemermozda,irene
ECOLE FRANCO-SENEGALAISE DE FANN,338250458,Rue Aimé Césaire Fann Résidence Dakar, efsfann@orange.sn,irene
COURS SAINTE MARIE DE HANN,338238736,Route du Front de Terre, bureau.inscriptions@gmail.com,irene
COURS SAINTE MARIE DE HANN,338238736,Route du Front de Terre, bureau.inscriptions@gmail.com,irene
INSTITUTION SAINTE JEANNE D'ARC, 338213052 / 338216769,147 Avenue Lamine Gueye Dakar, isja@isjadakar.org,irene
INSTITUTION SAINTE JEANNE D'ARC, 338213052 / 338216769,147 Avenue Lamine Gueye Dakar, isja@isjadakar.org,irene
ECOLE ALOYS KOBES,338228462,"5, rue Moussé Diop", directrice@ecolekobes.org,irene
ECOLE AIME CESAIRE,338237488,"3, rue de Thann", direction@ecoleaimecesaire.com,irene
ECOLE FRANCAISE SAINT-EXUPERY,339611880,Quai Roume, saintex@orange.sn,irene
ECOLE FRANCAISE DR GUILLET,339513384,"75, rue de Prades", apeft@orange.sn,irene
ECOLE FRANCAISE FRANCOIS RABELAIS,339911169,Ziguinchor, effr.ziguinchor@laposte.net,irene
LYCEE FRANCAIS JACQUES PREVERT,339575271,Route de Saly-station, secretariat@lyceeprevertsaly.org,irene
ECOLE ALOYS KOBES,338228462,"5, rue Moussé Diop", directrice@ecolekobes.org,irene
ECOLE AIME CESAIRE,338237488,"3, rue de Thann", direction@ecoleaimecesaire.com,irene
ECOLE FRANCAISE DE DAKAR - ALMADIES,338203525,Boulevard du front de terre, directrice@lefda.net,irene
ECOLE FRANCAISE SAINT-EXUPERY,339611880,Quai Roume, saintex@orange.sn,irene
ECOLE FRANCAISE DR GUILLET,339513384,"75, rue de Prades", apeft@orange.sn,irene
ECOLE FRANCAISE FRANCOIS RABELAIS,339911169,Ziguinchor, effr.ziguinchor@laposte.net,irene
LYCEE FRANCAIS JACQUES PREVERT,339575271,Route de Saly-station, secretariat@lyceeprevertsaly.org,irene
ECOLE FRANCO SENEGALAISE DIAL DIOP,338216473,"56, avenue Franklin Roosevelt", direfs@arc.sn,irene
LYCEE FRANCAIS JACQUES PREVERT,339575271,Route de Saly-station, secretariat@lyceeprevertsaly.org,irene
ECOLE MATERNELLE MISSION LIBANAISE,338221014,"29, Boulevard De La République, DAKAR PLATEAU, Dakar",,irene
ECOLE MATERNELLE «EGLISE PROTESTANTE DU SÉNÉGA,338216464,"63, Rue Wagane Diouf, DAKAR-PLATEAU, Dakar",,irene
ECOLE MATERNELLE D'APPLICATION,339961754,"Square Quartier Escale, KOLDA, Kolda",,irene
ECOLE MATERNELLE FATOUMATA KA,339713816,"Square Escale Diourbel, DIOURBEL, Diourbel",,irene
ECOLE MATERNELLE KABROUSSE,339935197,"Square Cabrousse, CABROUSSE, Ziguinchor",,irene
ECOLE MATERNELLE LE PETIT FUTE,338219434,"98, Boulevard Général De Gaulle, DAKAR PLATEAU, Dakar",,irene
ECOLE MATERNELLE LES PEDAGOGUES,338350435,"1, Square Unité 13, PARCELLES ASSAINIES, Dakar",,irene
ECOLE MATERNELLE SAINTE MARIE DE HANN,338320829,"Route Des Pères Maristes Hann, HANN-BEL AIR, Dakar",,irene
ECOLE MATERNELLE SONACOS,339711663,"Square Cité Ouvrière Diourbe, DIOURBEL, Diourbel",,irene
ECOLE MATERNELLE YAKAAR PLUS,338358960,"199, Square Lotissement Fadia, CAMBÉRÈNE, Dakar",,irene
AUTO ECOLE TESSITO,338239715,"Face Garage Petersen, Avenue Faidherbe, DAKAR-PLATEAU, Dakar",,irene
AUTO ÉCOLE WILGOZ,338217357,"178, Avenue Pdt Lamine Guèye, DAKAR-PLATEAU, Dakar",,irene
AUTO ECOLE AÏDA,338227510,", Rue 22 prolongée derrière Score Sahm, MÉDINA, DAKAR",,irene
AUTO ECOLE DAARA-JI,338422407,"54, Square Fass Casier, GUEULE TAPÉE -FASS-COLOBANE, DAKAR",,irene
AUTO ECOLE DAKAR CONDUITE,338202992,", Square Nord Foire Rte de l'Aéroport/Rte du F. de terre Imm Médecin 2000, YOFF, DAKAR",,irene
AUTO ECOLE DJIBRIL GUEYE JUNIOR,,"546, Square HLM 2, HLM, DAKAR", autoecolegueyejunior@yahoo.fr,irene
AUTO ECOLE EXCEL,338202992,"187, Square Hlm Grand Yoff, GRAND YOFF, Dakar",,irene
AUTO ECOLE LA PRUDENTE,338214708,", Rue Dial Diop X Blaise Diagne, DAKAR-PLATEAU, Dakar",,irene
AUTO ECOLE MASTER,338251177,", Boulevard Dial Diop côté Thiossane, GRAND-DAKAR, DAKAR",,irene
AUTO ECOLE NANA,338238447,"58, Rue de Reims x Marsat, DAKAR-PLATEAU, DAKAR",,irene
AUTO ECOLE DAKAR AUTOMATIQUE II,338671935,", Square Sacré Coeur 3, MERMOZ-SACRÉ C?UR, Dakar",,irene
AUTO ECOLE BOUBACAR MBODJI,338356626,"231, Rue PA 22-19, PARCELLES ASSAINIES, DAKAR",,irene
AUTO ECOLE ASSALAMOU,338370199,"K27, Rue GS 129, GOLF SUD, Guédiawaye",,irene
AUTO ECOLE DABO KUNDA,776423936,,,irene
AUTO ECOLE DE L'AMITIE,775784484,", Square Thiaroye Djeedah, THIAROYE DJEEDAH, DAKAR",,irene
PIROUETTE CACAHUÈTE-CRÈCHE,771715378,"Fenêtre Mermoz villa n°14 Corniche Ouest , DAKAR", pirouettecontact@free.fr,irene
ECOLE MATERNELLE LA PEPINIERE,338239132,"rue saint michel x jules ferry DAKAR-PLATEAU, Dakar", emlnp@hotmail.com,irene
GROUPE SCOLAIRE LES PEDAGOGUES,338274139,"GRAND-YOFF, DAKAR", assydiaw1@yahoo.fr,irene
INSTITUTION SAINTE JEANNE D'ARC POST BAC,338896061,Avenue Roosevelt x Jambaar, contact@isjapostbac.sn,irene
DMS-CONSEILS,777831011,POINT E RUE DE LOUGA, tandiaye@gmail.com,irene
ECOLE MATERNELLE CHEZ DONALD,                                                                     338215563/776527899,"14, Avenue Nelson Mandela, DAKAR PLATEAU, Dakar", adjindoumde@yahoo.fr,irene
ESIG SARL, 338428784 / 338226154,99 Rue Amadou Assane Ndoye, uimesig@gmail.com/direction@uim-esig.com,irene
AUTO ECOLE LA ROUTIERE ET SERVICES, 338243669 / 766447172,Immeuble n°5 Avenue Bourguiba x Castors, fifinakane@yahoo.fr,irene
LA PYRAMIDE DES ANGES, 338645064 / 774503838,Sacre Coeur 3 pyrotechnique lot 39 Cite iba Ndiaye diadji, maisondesanges@orange.sn,irene
COMPLEXE EDUCATIF MAMELLES AVIATION DENANGO,338602718,Mamelles Aviation Ouakam, cemad@cemadsn.com,irene
SUNTECH,338602756,Mermoz Ancienne Piste villa n°35 Entre l'universite du Sahel Dakar, sunhitech3@yahoo.com,irene
YAVUZ SELIM,338242222,2 Voies Liberté 6 Derrière Samu Municipal Dakar, info@gsyavuzselim.edu.sn,irene
SUP-TP / ECOLE SUPERIEURE DES TRAVAUX PUBLICS,338244913,Point E rue de Thiés x Diourbel Dakar, estpsn@yahoo.fr,irene
L'ECOLE LES DAUPHINS,338201092,Ngor Derriere le Casino du Cap Vert Dakar, lecolelesdauphins@yahoo.fr,irene
FORMA BEAUTE,338248668,3094 Avenue Bourguiba Dakar, marieno@orange.sn,irene
MATERNELLE PETITE ECOLE PROTESTANTE,338217132,63 Rue Wagane Diouf Dakar, epsen2006@yahoo.fr,irene
LA PÉPINIÈRE,338239132,74 Rue Saint Michel x jules Ferry Dakar,,irene
ISCOM SUP'MANAGEMENT,338644687,"Avenue Bourguiba DIEUPPEUL-DERKLE, DAKAR", contacts@iscom.sn / infos@iscom.sn,irene
COLLEGE IMMACULEE CONCEPTION,338890370,10 Boulevard Djily Mbaye Dakar, immaculeedk@orange.sn,irene
COLLEGE SACRE COEUR,338252854,Sicap Liberte 1 Dakar, coursacrecoeur@arc.sn,irene
COLLEGE IMMACULEE CONCEPTION,338890370,10 Boulevard Djily Mbaye Dakar, immaculeedk@orange.sn,irene
COLLEGE SACRE COEUR,338252854,Sicap Liberte 1 Dakar, coursacrecoeur@arc.sn,irene
CENTRE DE FORMATION PROFESSIONNELLE ET TECHNIQUE,338698282,Sud Cices Vdn Dakar, cfptsj@orange.sn,irene
AUTO ECOLE LA PLANETE, 338208105 / 776378223,9 Route de l'aeroport Yoff, julesnet01@yahoo.fr,irene
PRESCOLAIRE IMMACULEE CONCEPTION,338225526,"10, Boulevard Djily Mbaye, DAKAR PLATEAU, Dakar",,irene
PRESCOLAIRE INSTITUTION SAINTE JEANNE D'ARC,338216769,"147, Avenue Lamine Guèye, DAKAR PLATEAU, Dakar",,irene
PERFECTO,338426500,"21, Avenue Faidherbe, DAKAR-PLATEAU, Dakar",,irene
AUTO ECOLE LA ROUTIERE, 338243669 / 766447122,15 Rue 13 X Castor Avenue Bourguiba Dakar, fifinakane@yahoo.fr,irene
ECOLE ACTUELLE BILINGUE (GROUPE CITé SCOLAIRE IN,338254825,"Corniche Ouest, Fenetre Mermoz", eab@orange.sn,irene
ECOLE ACTUELLE BILINGUE (GROUPE CITé SCOLAIRE IN,338254825,"Corniche Ouest, Fenetre Mermoz", eab@orange.sn,irene
INSTITUT PROFESSIONNEL DE L'ENTREPRISE,338672964,Cite Sipres 2 Sud Foire en face de la Mosquée Dakar, ipesn@yahoo.fr,irene
